arm,action,restore,iter,disturb_ms,hit,extra
E,set_text,True,1,132,0,''
E,set_text,True,2,236,0,''
E,set_text,True,3,112,0,''
E,set_text,True,4,117,0,''
E,set_text,True,5,265,0,''
E,set_text,True,6,124,0,''
E,set_text,True,7,138,0,''
E,set_text,True,8,210,0,''
E,set_text,True,9,95,0,''
E,set_text,True,10,87,0,''
E,set_text,True,11,194,0,''
E,set_text,True,12,87,0,''
E,set_text,True,13,84,0,''
E,set_text,True,14,217,0,''
E,set_text,True,15,171,0,''
E,set_text,True,16,148,0,''
E,set_text,True,17,439,0,''
E,set_text,True,18,113,0,''
E,set_text,True,19,119,0,''
E,set_text,True,20,249,0,''
