arm,action,restore,iter,disturb_ms,hit,extra
E,set_text,True,1,,0,''
E,set_text,True,2,184,0,''
E,set_text,True,3,573,0,''
E,set_text,True,4,42,0,''
E,set_text,True,5,112,0,''
E,set_text,True,6,272,1,'x'
E,set_text,True,7,82,0,''
E,set_text,True,8,141,0,''
E,set_text,True,9,310,0,''
E,set_text,True,10,93,0,''
E,set_text,True,11,77,0,''
E,set_text,True,12,247,0,''
E,set_text,True,13,41,0,''
E,set_text,True,14,198,0,''
E,set_text,True,15,256,0,''
E,set_text,True,16,112,0,''
E,set_text,True,17,59,0,''
E,set_text,True,18,252,0,''
E,set_text,True,19,30,0,''
E,set_text,True,20,87,0,''
E,set_text,True,1,215,0,''
E,set_text,True,2,69,0,''
E,set_text,True,3,58,0,''
E,set_text,True,4,383,1,'x'
E,set_text,True,5,124,0,''
E,set_text,True,6,212,0,''
E,set_text,True,7,101,0,''
E,set_text,True,8,95,0,''
E,set_text,True,9,148,0,''
E,set_text,True,10,431,1,'x'
E,set_text,True,11,38,0,''
E,set_text,True,12,93,0,''
E,set_text,True,13,120,0,''
E,set_text,True,14,93,0,''
E,set_text,True,15,139,0,''
E,set_text,True,16,314,1,'x'
E,set_text,True,17,74,0,''
E,set_text,True,18,107,0,''
E,set_text,True,19,428,0,''
E,set_text,True,20,1144,0,''
