arm,action,restore,iter,disturb_ms,hit,extra
E,set_text,True,1,117,0,''
E,set_text,True,2,356,0,''
E,set_text,True,3,51,0,''
E,set_text,True,4,107,0,''
E,set_text,True,5,389,1,'x'
E,set_text,True,6,236,0,''
E,set_text,True,7,130,0,''
E,set_text,True,8,334,0,''
E,set_text,True,9,103,0,''
E,set_text,True,10,160,0,''
E,set_text,True,11,307,0,''
E,set_text,True,12,67,0,''
E,set_text,True,13,121,0,''
E,set_text,True,14,337,1,'x'
E,set_text,True,15,108,0,''
E,set_text,True,16,92,0,''
E,set_text,True,17,326,0,''
E,set_text,True,18,88,0,''
E,set_text,True,19,99,0,''
E,set_text,True,20,410,0,''
E,set_text,True,1,96,0,''
E,set_text,True,2,89,0,''
E,set_text,True,3,320,0,''
E,set_text,True,4,52,0,''
E,set_text,True,5,101,0,''
E,set_text,True,6,203,0,''
E,set_text,True,7,99,0,''
E,set_text,True,8,121,0,''
E,set_text,True,9,375,1,'x'
E,set_text,True,10,96,0,''
E,set_text,True,11,75,0,''
E,set_text,True,12,364,1,'x'
E,set_text,True,13,115,0,''
E,set_text,True,14,50,0,''
E,set_text,True,15,397,1,'x'
E,set_text,True,16,45,0,''
E,set_text,True,17,125,0,''
E,set_text,True,18,185,0,''
E,set_text,True,19,116,0,''
E,set_text,True,20,150,0,''
