arm,iter,ime_before,disappeared,latency_ms,disturb_ms,note
control,1,True,0,,,ok
control,2,True,0,,,ok
control,3,True,0,,,ok
control,4,True,0,,,ok
control,5,True,0,,,ok
control,6,True,0,,,ok
control,7,True,0,,,ok
control,8,True,0,,,ok
control,9,True,0,,,ok
control,10,True,0,,,ok
control,11,True,0,,,ok
control,12,True,0,,,ok
control,13,True,0,,,ok
control,14,True,0,,,ok
control,15,True,0,,,ok
control,16,True,0,,,ok
control,17,True,0,,,ok
control,18,True,0,,,ok
control,19,True,0,,,ok
control,20,True,0,,,ok
