arm,iter,ime_before,disappeared,latency_ms,disturb_ms,note
rebuild,1,True,1,52,227,ok
rebuild,2,True,1,45,114,ok
rebuild,3,True,0,,435,ok
rebuild,4,True,0,,186,ok
rebuild,5,True,0,,363,ok
rebuild,1,True,1,52,204,ok
rebuild,2,True,0,,153,ok
rebuild,3,True,0,,172,ok
rebuild,4,True,1,47,343,ok
rebuild,5,True,0,,252,ok
rebuild,6,True,1,53,223,ok
rebuild,7,True,1,55,237,ok
rebuild,8,True,0,,190,ok
rebuild,9,True,1,50,309,ok
rebuild,10,True,1,48,186,ok
rebuild,11,True,1,44,239,ok
rebuild,12,True,1,45,172,ok
rebuild,13,True,0,,160,ok
rebuild,14,True,0,,385,ok
rebuild,15,True,0,,192,ok
